RegionsCode,Regions,MethodCode,Method used to travel to workplace,AgeCode,AgeRange,Observation
E12000006,East,6,All other methods of travel,2,Aged 25 to 34 years,37930
E12000006,East,6,All other methods of travel,3,Aged 35 to 49 years,44581
E12000006,East,6,All other methods of travel,4,Aged 50 to 64 years,36510
E12000006,East,6,All other methods of travel,5,Aged 65 years and over,5173
E12000007,London,1,Work mainly at or from home,1,Aged 16 to 24 years,19476
E12000007,London,1,Work mainly at or from home,2,Aged 25 to 34 years,84742
E12000007,London,1,Work mainly at or from home,3,Aged 35 to 49 years,148852
E12000007,London,1,Work mainly at or from home,4,Aged 50 to 64 years,104763
E12000007,London,1,Work mainly at or from home,5,Aged 65 years and over,22830
E12000007,London,2,"Train, underground, metro, light rail, tram, bus, minibus or coach",1,Aged 16 to 24 years,281911
E12000007,London,2,"Train, underground, metro, light rail, tram, bus, minibus or coach",2,Aged 25 to 34 years,828383
E12000007,London,2,"Train, underground, metro, light rail, tram, bus, minibus or coach",3,Aged 35 to 49 years,779209
E12000007,London,2,"Train, underground, metro, light rail, tram, bus, minibus or coach",4,Aged 50 to 64 years,345807
E12000007,London,2,"Train, underground, metro, light rail, tram, bus, minibus or coach",5,Aged 65 years and over,32123
E12000007,London,3,Driving a car or van,1,Aged 16 to 24 years,82004
E12000007,London,3,Driving a car or van,2,Aged 25 to 34 years,262038
E12000007,London,3,Driving a car or van,3,Aged 35 to 49 years,494742
E12000007,London,3,Driving a car or van,4,Aged 50 to 64 years,327576
E12000007,London,3,Driving a car or van,5,Aged 65 years and over,33960
E12000007,London,4,Bicycle,1,Aged 16 to 24 years,12903
E12000007,London,4,Bicycle,2,Aged 25 to 34 years,65020
E12000007,London,4,Bicycle,3,Aged 35 to 49 years,60270
E12000007,London,4,Bicycle,4,Aged 50 to 64 years,19196
E12000007,London,4,Bicycle,5,Aged 65 years and over,1224
E12000007,London,5,On foot,1,Aged 16 to 24 years,50548
E12000007,London,5,On foot,2,Aged 25 to 34 years,101980
E12000007,London,5,On foot,3,Aged 35 to 49 years,105290
E12000007,London,5,On foot,4,Aged 50 to 64 years,65214
E12000007,London,5,On foot,5,Aged 65 years and over,7387
E12000007,London,6,All other methods of travel,1,Aged 16 to 24 years,22686
E12000007,London,6,All other methods of travel,2,Aged 25 to 34 years,40911
E12000007,London,6,All other methods of travel,3,Aged 35 to 49 years,59352
E12000007,London,6,All other methods of travel,4,Aged 50 to 64 years,35008
E12000007,London,6,All other methods of travel,5,Aged 65 years and over,5076
E12000008,South East,1,Work mainly at or from home,1,Aged 16 to 24 years,24001
E12000008,South East,1,Work mainly at or from home,2,Aged 25 to 34 years,65863
E12000008,South East,1,Work mainly at or from home,3,Aged 35 to 49 years,195457
E12000008,South East,1,Work mainly at or from home,4,Aged 50 to 64 years,176704
E12000008,South East,1,Work mainly at or from home,5,Aged 65 years and over,40556
E12000008,South East,2,"Train, underground, metro, light rail, tram, bus, minibus or coach",1,Aged 16 to 24 years,76357
E12000008,South East,2,"Train, underground, metro, light rail, tram, bus, minibus or coach",2,Aged 25 to 34 years,92483
E12000008,South East,2,"Train, underground, metro, light rail, tram, bus, minibus or coach",3,Aged 35 to 49 years,96905
E12000008,South East,2,"Train, underground, metro, light rail, tram, bus, minibus or coach",4,Aged 50 to 64 years,62607
E12000008,South East,2,"Train, underground, metro, light rail, tram, bus, minibus or coach",5,Aged 65 years and over,7704
E12000008,South East,3,Driving a car or van,1,Aged 16 to 24 years,226129
E12000008,South East,3,Driving a car or van,2,Aged 25 to 34 years,499284
E12000008,South East,3,Driving a car or van,3,Aged 35 to 49 years,954896
E12000008,South East,3,Driving a car or van,4,Aged 50 to 64 years,673149
E12000008,South East,3,Driving a car or van,5,Aged 65 years and over,73515
E12000008,South East,4,Bicycle,1,Aged 16 to 24 years,17946
E12000008,South East,4,Bicycle,2,Aged 25 to 34 years,29966
E12000008,South East,4,Bicycle,3,Aged 35 to 49 years,45928
E12000008,South East,4,Bicycle,4,Aged 50 to 64 years,25960
E12000008,South East,4,Bicycle,5,Aged 65 years and over,2405
E12000008,South East,5,On foot,1,Aged 16 to 24 years,101453
E12000008,South East,5,On foot,2,Aged 25 to 34 years,98951
E12000008,South East,5,On foot,3,Aged 35 to 49 years,120290
E12000008,South East,5,On foot,4,Aged 50 to 64 years,85321
E12000008,South East,5,On foot,5,Aged 65 years and over,10578
E12000008,South East,6,All other methods of travel,1,Aged 16 to 24 years,77635
E12000008,South East,6,All other methods of travel,2,Aged 25 to 34 years,55556
E12000008,South East,6,All other methods of travel,3,Aged 35 to 49 years,65549
E12000008,South East,6,All other methods of travel,4,Aged 50 to 64 years,52833
E12000008,South East,6,All other methods of travel,5,Aged 65 years and over,7396
E12000009,South West,1,Work mainly at or from home,1,Aged 16 to 24 years,17061
E12000009,South West,1,Work mainly at or from home,2,Aged 25 to 34 years,38188
E12000009,South West,1,Work mainly at or from home,3,Aged 35 to 49 years,116621
E12000009,South West,1,Work mainly at or from home,4,Aged 50 to 64 years,122033
E12000009,South West,1,Work mainly at or from home,5,Aged 65 years and over,29886
E12000009,South West,2,"Train, underground, metro, light rail, tram, bus, minibus or coach",1,Aged 16 to 24 years,38572
E12000009,South West,2,"Train, underground, metro, light rail, tram, bus, minibus or coach",2,Aged 25 to 34 years,36331
E12000009,South West,2,"Train, underground, metro, light rail, tram, bus, minibus or coach",3,Aged 35 to 49 years,40286
E12000009,South West,2,"Train, underground, metro, light rail, tram, bus, minibus or coach",4,Aged 50 to 64 years,32032
E12000009,South West,2,"Train, underground, metro, light rail, tram, bus, minibus or coach",5,Aged 65 years and over,4067
E12000009,South West,3,Driving a car or van,1,Aged 16 to 24 years,145372
E12000009,South West,3,Driving a car or van,2,Aged 25 to 34 years,291519
E12000009,South West,3,Driving a car or van,3,Aged 35 to 49 years,576819
E12000009,South West,3,Driving a car or van,4,Aged 50 to 64 years,426672
E12000009,South West,3,Driving a car or van,5,Aged 65 years and over,45756
E12000009,South West,4,Bicycle,1,Aged 16 to 24 years,11875
E12000009,South West,4,Bicycle,2,Aged 25 to 34 years,21511
E12000009,South West,4,Bicycle,3,Aged 35 to 49 years,34469
E12000009,South West,4,Bicycle,4,Aged 50 to 64 years,17883
E12000009,South West,4,Bicycle,5,Aged 65 years and over,1345
E12000009,South West,5,On foot,1,Aged 16 to 24 years,75093
E12000009,South West,5,On foot,2,Aged 25 to 34 years,71667
E12000009,South West,5,On foot,3,Aged 35 to 49 years,89515
E12000009,South West,5,On foot,4,Aged 50 to 64 years,67476
E12000009,South West,5,On foot,5,Aged 65 years and over,8024
E12000009,South West,6,All other methods of travel,1,Aged 16 to 24 years,49697
E12000009,South West,6,All other methods of travel,2,Aged 25 to 34 years,35065
E12000009,South West,6,All other methods of travel,3,Aged 35 to 49 years,45422
E12000009,South West,6,All other methods of travel,4,Aged 50 to 64 years,38378
E12000009,South West,6,All other methods of travel,5,Aged 65 years and over,4956
W92000004,Wales,1,Work mainly at or from home,1,Aged 16 to 24 years,8217
W92000004,Wales,1,Work mainly at or from home,2,Aged 25 to 34 years,17380
W92000004,Wales,1,Work mainly at or from home,3,Aged 35 to 49 years,50659
W92000004,Wales,1,Work mainly at or from home,4,Aged 50 to 64 years,52697
W92000004,Wales,1,Work mainly at or from home,5,Aged 65 years and over,13225
W92000004,Wales,2,"Train, underground, metro, light rail, tram, bus, minibus or coach",1,Aged 16 to 24 years,21564
W92000004,Wales,2,"Train, underground, metro, light rail, tram, bus, minibus or coach",2,Aged 25 to 34 years,20295
W92000004,Wales,2,"Train, underground, metro, light rail, tram, bus, minibus or coach",3,Aged 35 to 49 years,22532
W92000004,Wales,2,"Train, underground, metro, light rail, tram, bus, minibus or coach",4,Aged 50 to 64 years,17861
W92000004,Wales,2,"Train, underground, metro, light rail, tram, bus, minibus or coach",5,Aged 65 years and over,2030
W92000004,Wales,3,Driving a car or van,1,Aged 16 to 24 years,87179
W92000004,Wales,3,Driving a car or van,2,Aged 25 to 34 years,176972
W92000004,Wales,3,Driving a car or van,3,Aged 35 to 49 years,332626
W92000004,Wales,3,Driving a car or van,4,Aged 50 to 64 years,230262
W92000004,Wales,3,Driving a car or van,5,Aged 65 years and over,19740
W92000004,Wales,4,Bicycle,1,Aged 16 to 24 years,2513
W92000004,Wales,4,Bicycle,2,Aged 25 to 34 years,4901
W92000004,Wales,4,Bicycle,3,Aged 35 to 49 years,7639
W92000004,Wales,4,Bicycle,4,Aged 50 to 64 years,3646
W92000004,Wales,4,Bicycle,5,Aged 65 years and over,231
W92000004,Wales,5,On foot,1,Aged 16 to 24 years,30403
W92000004,Wales,5,On foot,2,Aged 25 to 34 years,27778
W92000004,Wales,5,On foot,3,Aged 35 to 49 years,37146
W92000004,Wales,5,On foot,4,Aged 50 to 64 years,29278
W92000004,Wales,5,On foot,5,Aged 65 years and over,3221
W92000004,Wales,6,All other methods of travel,1,Aged 16 to 24 years,28407
W92000004,Wales,6,All other methods of travel,2,Aged 25 to 34 years,22403
W92000004,Wales,6,All other methods of travel,3,Aged 35 to 49 years,29028
W92000004,Wales,6,All other methods of travel,4,Aged 50 to 64 years,24042
W92000004,Wales,6,All other methods of travel,5,Aged 65 years and over,2489
